ustt,utc,lon,lat,height
1515501406,1.69512401350038E+018,54305332,514117753,69647
1516001368,1.69512401400038E+018,54305109,514118716,69575
1516501369,1.69512401450038E+018,54304880,514119681,69442
1517001332,1.69512401500038E+018,54304651,514120643,69332
1517501332,1.69512401550038E+018,54304422,514121603,69240
1518001295,1.69512401600038E+018,54304191,514122565,69113
1518501296,1.69512401650038E+018,54303960,514123527,68980
1519001259,1.69512401700039E+018,54303735,514124490,68818
1519501259,1.69512401750039E+018,54303518,514125458,68344
1520001222,1.69512401800039E+018,54303319,514126431,68042
1520501223,1.69512401850039E+018,54303144,514127414,67640
1521001185,1.69512401900039E+018,54302981,514128406,67301
1521501186,1.69512401950039E+018,54302818,514129411,66952
1522001148,1.69512402000039E+018,54302662,514130420,66566
1522501149,1.69512402050039E+018,54302517,514131432,66237
1523001112,1.69512402100039E+018,54302376,514132451,65958
1523501113,1.69512402150039E+018,54302239,514133473,65709
1524001076,1.69512402200039E+018,54302103,514134501,65464
1524501076,1.69512402250039E+018,54301972,514135528,65255
1525001039,1.69512402300039E+018,54301847,514136558,65072
1525501040,1.6951240235004E+018,54301732,514137591,64907
1526001003,1.6951240240004E+018,54301614,514138624,64762
1526501003,1.6951240245004E+018,54301477,514139659,64679
1527000965,1.6951240250004E+018,54301324,514140696,64644
1527500966,1.6951240255004E+018,54301161,514141736,64560
1528000929,1.6951240260004E+018,54300989,514142773,64537
1528500930,1.6951240265004E+018,54300812,514143807,64533
1529000892,1.6951240270004E+018,54300630,514144835,64583
1529500893,1.6951240275004E+018,54300439,514145856,64678
1530000856,1.6951240280004E+018,54300231,514146871,64832
1530500857,1.6951240285004E+018,54300015,514147877,65021
1531000820,1.6951240290004E+018,54299801,514148874,65203
1531500820,1.6951240295004E+018,54299584,514149858,65415
1532000783,1.69512403000041E+018,54299368,514150829,65653
1532500784,1.69512403050041E+018,54299152,514151786,65871
1533000746,1.69512403100041E+018,54298929,514152730,66156
1533500747,1.69512403150041E+018,54298698,514153658,66352
1534000709,1.69512403200041E+018,54298472,514154572,66617
1534500710,1.69512403250041E+018,54298255,514155473,66967
1535000673,1.69512403300041E+018,54298044,514156360,67292
1535500674,1.69512403350041E+018,54297836,514157237,67543
1536000637,1.69512403400041E+018,54297639,514158108,67769
1536500637,1.69512403450041E+018,54297461,514158980,67965
1537000600,1.69512403500041E+018,54297303,514159852,68186
1537500601,1.69512403550041E+018,54297155,514160721,68351
1538000563,1.69512403600042E+018,54297011,514161589,68509
1538500564,1.69512403650042E+018,54296867,514162456,68609
1539000526,1.69512403700042E+018,54296724,514163322,68684
1539500527,1.69512403750042E+018,54296591,514164186,68750
1540000490,1.69512403800042E+018,54296471,514165050,68790
1540500491,1.69512403850042E+018,54296357,514165917,68805
1541000454,1.69512403900042E+018,54296250,514166787,68872
1541500454,1.69512403950042E+018,54296149,514167661,68926
1542000417,1.69512404000042E+018,54296050,514168539,68977
